iteration;agentId;positionBefore;positionAfter;personalBest;personalBestFitness;globalBest;globalBestFitness;popAvgFitness;popStdDev;distToOptimum
0;0;-16.25683680919964 -9.670529069429030;-16.25683680919964 -9.670529069429030;-16.25683680919964 -9.670529069429030;20.56989681496528;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;18.91570446807679
0;1;3.935069260688096 20.11874261483620;3.935069260688096 20.11874261483620;3.935069260688096 20.11874261483620;19.33237762158580;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;20.49996523139584
0;2;-30.13427440820803 8.463993963484953;-30.13427440820803 8.463993963484953;-30.13427440820803 8.463993963484953;21.62266303317064;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;31.30037839904002
0;3;15.51520804204913 1.530696448155403;15.51520804204913 1.530696448155403;15.51520804204913 1.530696448155403;20.14075206974853;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;15.59053277487532
0;4;-1.661662655478228 2.192411774975142;-1.661662655478228 2.192411774975142;-1.661662655478228 2.192411774975142;8.247060496256562;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;2.750962044751001
0;5;25.41707098256534 -15.61259803013450;25.41707098256534 -15.61259803013450;25.41707098256534 -15.61259803013450;21.98062557936192;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;29.82919232200773
0;6;11.65503792602562 -8.686958165824361;11.65503792602562 -8.686958165824361;11.65503792602562 -8.686958165824361;19.53572108881212;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;14.53627019671409
0;7;21.42729883504138 -1.056800659703345;21.42729883504138 -1.056800659703345;21.42729883504138 -1.056800659703345;20.73583385148192;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;21.45334386524662
0;8;30.53565443919148 -31.47094434200928;30.53565443919148 -31.47094434200928;30.53565443919148 -31.47094434200928;22.30213586276853;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;43.85027399923015
0;9;-5.894916220115789 -4.908945242037799;-5.894916220115789 -4.908945242037799;-5.894916220115789 -4.908945242037799;13.69956412512603;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;7.671230711659621
0;10;23.72614041563092 24.67696140080395;23.72614041563092 24.67696140080395;23.72614041563092 24.67696140080395;21.81667225009339;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;34.23276446620989
0;11;22.80539325336843 9.124189434371658;22.80539325336843 9.124189434371658;22.80539325336843 9.124189434371658;20.40630493096825;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;24.56291501990514
0;12;-10.42078034314520 13.70389633702896;-10.42078034314520 13.70389633702896;-10.42078034314520 13.70389633702896;20.40711469997660;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;17.21596461939084
0;13;-29.15245547307014 4.259519629832163;-29.15245547307014 4.259519629832163;-29.15245547307014 4.259519629832163;21.11418330688964;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;29.46199530897836
0;14;13.44135721876131 15.32372306816612;13.44135721876131 15.32372306816612;13.44135721876131 15.32372306816612;21.09692048883087;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;20.38348774258697
0;15;-10.08093748333948 -7.739066503863256;-10.08093748333948 -7.739066503863256;-10.08093748333948 -7.739066503863256;17.90802391312286;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;12.70899094712940
0;16;-13.65597221922556 14.56195562798659;-13.65597221922556 14.56195562798659;-13.65597221922556 14.56195562798659;21.05343877628098;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;19.96336967958342
0;17;-21.49113448373362 20.33234332241776;-21.49113448373362 20.33234332241776;-21.49113448373362 20.33234332241776;21.93950838078818;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;29.58501388166973
0;18;-5.150687643353660 -7.752521182903934;-5.150687643353660 -7.752521182903934;-5.150687643353660 -7.752521182903934;16.00578266801308;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;9.307586577129985
0;19;24.53975878940203 -29.22141365897084;24.53975878940203 -29.22141365897084;24.53975878940203 -29.22141365897084;21.95405449236174;-1.661662655478228 2.192411774975142;8.247060496256562;19.59343172253015;3.339310109357558;38.15875754883434
1;0;-16.25683680919964 -9.670529069429030;-16.25683680919964 -9.670529069429030;-16.25683680919964 -9.670529069429030;20.56989681496528;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;18.91570446807679
1;1;3.935069260688096 20.11874261483620;3.935069260688096 20.11874261483620;3.935069260688096 20.11874261483620;19.33237762158580;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;20.49996523139584
1;2;-30.13427440820803 8.463993963484953;-30.13427440820803 8.463993963484953;-30.13427440820803 8.463993963484953;21.62266303317064;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;31.30037839904002
1;3;15.51520804204913 1.530696448155403;15.51520804204913 1.530696448155403;15.51520804204913 1.530696448155403;20.14075206974853;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;15.59053277487532
1;4;-1.661662655478228 2.192411774975142;-1.661662655478228 2.192411774975142;-1.661662655478228 2.192411774975142;8.247060496256562;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;2.750962044751001
1;5;25.41707098256534 -15.61259803013450;25.41707098256534 -15.61259803013450;25.41707098256534 -15.61259803013450;21.98062557936192;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;29.82919232200773
1;6;11.65503792602562 -8.686958165824361;11.65503792602562 -8.686958165824361;11.65503792602562 -8.686958165824361;19.53572108881212;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;14.53627019671409
1;7;21.42729883504138 -1.056800659703345;21.42729883504138 -1.056800659703345;21.42729883504138 -1.056800659703345;20.73583385148192;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;21.45334386524662
1;8;30.53565443919148 -31.47094434200928;30.53565443919148 -31.47094434200928;30.53565443919148 -31.47094434200928;22.30213586276853;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;43.85027399923015
1;9;-5.894916220115789 -4.908945242037799;-5.894916220115789 -4.908945242037799;-5.894916220115789 -4.908945242037799;13.69956412512603;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;7.671230711659621
1;10;23.72614041563092 24.67696140080395;23.72614041563092 24.67696140080395;23.72614041563092 24.67696140080395;21.81667225009339;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;34.23276446620989
1;11;22.80539325336843 9.124189434371658;22.80539325336843 9.124189434371658;22.80539325336843 9.124189434371658;20.40630493096825;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;24.56291501990514
1;12;-10.42078034314520 13.70389633702896;-10.00824341225413 13.83095333997562;-10.00824341225413 13.83095333997562;18.82794858909982;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;17.07220567154435
1;13;-29.15245547307014 4.259519629832163;-29.15245547307014 4.259519629832163;-29.15245547307014 4.259519629832163;21.11418330688964;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;29.46199530897836
1;14;13.44135721876131 15.32372306816612;13.44135721876131 15.32372306816612;13.44135721876131 15.32372306816612;21.09692048883087;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;20.38348774258697
1;15;-10.08093748333948 -7.739066503863256;-10.08093748333948 -7.739066503863256;-10.08093748333948 -7.739066503863256;17.90802391312286;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;12.70899094712940
1;16;-13.65597221922556 14.56195562798659;-13.65597221922556 14.56195562798659;-13.65597221922556 14.56195562798659;21.05343877628098;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;19.96336967958342
1;17;-21.49113448373362 20.33234332241776;-21.49113448373362 20.33234332241776;-21.49113448373362 20.33234332241776;21.93950838078818;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;29.58501388166973
1;18;-5.150687643353660 -7.752521182903934;-5.150687643353660 -7.752521182903934;-5.150687643353660 -7.752521182903934;16.00578266801308;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;9.307586577129985
1;19;24.53975878940203 -29.22141365897084;24.53975878940203 -29.22141365897084;24.53975878940203 -29.22141365897084;21.95405449236174;-1.661662655478228 2.192411774975142;8.247060496256562;19.51447341698631;3.337806437532326;38.15875754883434
2;0;-16.25683680919964 -9.670529069429030;-16.25683680919964 -9.670529069429030;-16.25683680919964 -9.670529069429030;20.56989681496528;-1.661662655478228 2.192411774975142;8.247060496256562;19.55949440213086;3.321869176969308;18.91570446807679
2;1;3.935069260688096 20.11874261483620;3.935069260688096 20.11874261483620;3.935069260688096 20.11874261483620;19.33237762158580;-1.661662655478228 2.192411774975142;8.247060496256562;19.55949440213086;3.321869176969308;20.49996523139584
2;2;-30.13427440820803 8.463993963484953;-30.13427440820803 8.463993963484953;-30.13427440820803 8.463993963484953;21.62266303317064;-1.661662655478228 2.192411774975142;8.247060496256562;19.55949440213086;3.321869176969308;31.30037839904002
2;3;15.51520804204913 1.530696448155403;15.51520804204913 1.530696448155403;15.51520804204913 1.530696448155403;20.14075206974853;-1.661662655478228 2.192411774975142;8.247060496256562;19.55949440213086;3.321869176969308;15.59053277487532
2;4;-1.661662655478228 2.192411774975142;-1.661662655478228 2.192411774975142;-1.661662655478228 2.192411774975142;8.247060496256562;-1.661662655478228 2.192411774975142;8.247060496256562;19.55949440213086;3.321869176969308;2.750962044751001
2;5;25.41707098256534 -15.61259803013450;25.41707098256534 -15.61259803013450;25.41707098256534 -15.61259803013450;21.98062557936192;-1.661662655478228 2.192411774975142;8.247060496256562;19.55949440213086;3.321869176969308;29.82919232200773
2;6;11.65503792602562 -8.686958165824361;11.65503792602562 -8.686958165824361;11.65503792602562 -8.686958165824361;19.53572108881212;-1.661662655478228 2.192411774975142;8.247060496256562;19.55949440213086;3.321869176969308;14.53627019671409
2;7;21.42729883504138 -1.056800659703345;21.42729883504138 -1.056800659703345;21.42729883504138 -1.056800659703345;20.73583385148192;-1.661662655478228 2.192411774975142;8.247060496256562;19.55949440213086;3.321869176969308;21.45334386524662
